Package	Description	Updated_Date
perl-bio-trace-abif	Bio::Trace::ABIF - Perl extension for reading and parsing ABIF (Applied Biosystems Inc. Format) files	2023-06-16
medusa	A draft genome scaffolder that uses multiple reference genomes in a graph-based approach.	2023-06-16
bolt	A variant caller for short-read sequencing data	2023-06-16
assemblytics	analyze a genome assembly by comparing it to a reference genome	2023-06-16
omssa	Open Mass Spectrometry Search Algorithm (OMSSA)	2023-06-16
fastml	FastML is a bioinformatics tool for the reconstruction of ancestral sequences based on the phylogenetic relations between homologous sequences	2023-06-16
vcontact2	Viral Contig Automatic Clustering and Taxonomy	2023-06-16
minia	Minia is a short-read assembler based on a de Bruijn graph capable of assembling a human genome on a desktop computer in a day.	2023-06-16
rucs	RUCS is a bioinformatics tool developed to ease the task of designing new primers.	2023-06-16
wade	WADE provides a flexible and customizable method to extract specific genes from a large number of genomes at once.	2023-06-16
ldsc	ldsc is a tool for estimating heritability and genetic correlation from GWAS summary statistics. It also computes LD Scores.	2023-06-16
transrate	Reference free quality assessment of de-novo transcriptome assemblies	2023-06-16
translig	A de novo transcriptome assembler that uses line graph iteration	2023-06-16
refgenie	Refgenie creates a standardized folder structure for reference genome files and indexes. You can download pre-built genomes or build your own for any fasta file	2023-06-16
ggd	GoGetData (GGD) is a genomic data managment system. It provide simple and reproducible access to a repository of genomic data. Simply put it is 'Conda' for genomic data	2023-06-16
refgenconf	A standardized configuration object for reference genome assemblies	2023-06-16
bioconductor-crossicc	An Interactive Consensus Clustering Framework for Multi-platform Data Analysis	2023-06-16
optimir	Integrating genetic variations in miRNA alignment	2023-06-16
count_constant_sites	Compute the count of cases in constant sites in a (FASTA) multiple sequence alignment	2023-06-16
mango	A scalable genomic visualization tool	2023-06-16
graph-boink	streaming de Bruijn graph compaction and sketching.	2023-06-16
genmap	Ultra-fast computation of genome mappability.	2023-06-16
bwise	BWISE is a de Bruijn assembly Workflow using Integral information of Short paired-End reads	2023-06-16
caper	Cromwell Assisted Pipeline ExecutoR	2023-06-16
req	Estimating the rate of elementary quartets (REQ) of each internal branch of a phylogenetic tree from a distance matrix	2023-06-16
rmetl	rMETL is a realignment-based Mobile Element insertion detection Tool for Long read	2023-06-16
cvbio	Tools for working with genomic and sequencing data including multi-species read disambiguation	2023-06-16
jass_preprocessing	Harmonizing raw GWAS summary statistic for further analysis with jass	2023-06-16
pirate	Pangenome analysis and threshold evaluation toolbox	2023-06-16
biowdl-input-converter	Converting various input formats into WDL structs for BioWDL pipelines.	2023-06-16
primerclip	Swift Accel-Amplicon primer trimming tool for fast alignment-based primer trimming	2023-06-16
samstats	SAM file alignment statistics at the read level	2023-06-16
patholive	A real-time pathogen diagnostics tool for metagenomic Illumina sequencing data.	2023-06-16
panpasco	Pipeline for pangenome mapping and pairwise SNP distance	2023-06-16
sepp-refgg138	SATe-enabled phylogenetic placement	2023-06-16
rop	The Read Origin Protocol (ROP) is a computational protocol that aims to discover the source of all reads including those originating from repeat sequences recombinant B and T cell receptors and microbial communities.	2023-06-16
sepp-refsilva128	SATe-enabled phylogenetic placement	2023-06-16
svanalyzer	SVanalyzer: tools for the analysis of structural variation in genomes	2023-06-16
calib	Clustering without alignment using (locality sensitive hashing) LSH and MinHashing of barcoded reads	2023-06-16
jmztab-m	This project is the reference reader writer and validator implementation for mzTab for metabolomics 2.0+.	2023-06-16
aquila	Diploid personal genome assembly and comprehensive variant detection based on linked-reads	2023-06-16
jupyterngsplugin	Jupyter notebook plugin Bioinformatics NGS data analysis	2023-06-16
msaconverter	To convert multiple alignment alignments (MSA) into different formats	2023-06-16
taxonomy_ranks	To get taxonomy ranks information for taxid species name or higher ranks (e.g. genus family) with ETE3 from NCBI Taxonomy database.	2023-06-16
extract-codon-alignment	To extract some codon positions (1st 2nd 3rd) from a CDS alignment.	2023-06-16
aquila_umap	This is a program to generate Umap for Aquila diploid assembly.	2023-06-16
uvp	A Unified Variant Pipeline to identify variants and assign lineage from MTBC sequence data.	2023-06-16
kounta	Generate multi-sample k-mer count matrix	2023-06-16
aquila_stlfr	Diploid assembly and variants calling for stLFR and hybrid assembler for both linked-reads.	2023-06-16
phylocsf	Phylogenetic analysis of multi-species genome sequence alignments to identify conserved protein-coding regions	2023-06-16
spliceai-wrapper	A caching wrapper for Illumina SpliceAI.	2023-06-16
hops	Java tool to work with ancient metagenomics	2023-06-16
graph2pro-var	meta-proteogenomic identification from mass spec and metagenomic/transcriptomic data	2023-06-16
ezclermont	easily determine the Clermont 2013 E coli phylotype	2023-06-16
mapgl	Prediction of lineage-specific gain and loss of sequence elements using phylogenetic maximum parsimony.	2023-06-16
dinosaur	Feature finding algorithm for detection of isotope patterns in HPLC mass spectrometry data.	2023-06-16
python-bioformats	Read and write life sciences file formats	2023-06-16
fargene	Fragmented Antibiotic Resistance Gene iENntifiEr takes either fragmented metagenomic data or longer sequences as input and predicts and delivers full-length antiobiotic resistance genes as output	2023-06-16
dbgraph	A graph-centric approach for metagenome-guided peptide identification in metaproteomics.	2023-06-16
magicblast	NCBI BLAST next generation read mapper	2023-06-16
deepstats	A statistical and dataviz toolbox for deeptools genomic signals and more.	2023-06-16
mobidic-mpa	MPA: MoBiDiC Prioritization Algorithm	2023-06-16
biobasehttptools	Tools for querying bioinformatics web resources	2023-06-16
centreseq	Fast generation of core genome from bacterial strains	2023-06-16
paragraph	Graph realignment tools for structural variants	2023-06-16
ncbi-amr	AMRFinder find acquired antimicrobial resistance genes in protein or nucleotide sequences.	2023-06-16
triqler	A combined identification and quantification error model of label-free protein quantification	2023-06-16
r-freerange	Generate and manipulate genomic ranges.	2023-06-16
pal2nal	robust conversion of protein sequence alignments into the corresponding codon alignments	2023-06-16
tapestry	Validate and edit small eukaryotic genome assemblies	2023-06-16
opencontactcli	Static contact mapping algorithm to identify potential peptide biomimetics from protein interaction partner structure files.	2023-06-16
pgcgap	A prokaryotic genomics and comparative genomics analysis pipeline	2023-06-16
colombo	A software framework equipped with a GUI for the prediction of genomic islands (GIs) in prokaryotes.	2023-06-16
trnanalysis	tRNA analysis pipeline	2023-06-16
r-popgenreport	Provides beginner friendly framework to analyse population genetic data. Based on 'adegenet' objects it uses 'knitr' to create comprehensive reports on spatial genetic data.  For detailed information how to use the package refer to the comprehensive tutorials or visit <http://www.popgenreport.org/>.	2023-06-16
r-mmod	Provides functions for measuring population divergence from genotypic data.	2023-06-16
perl-const-fast	Facility for creating read-only scalars arrays and hashes	2023-06-16
jvarkit-msa2vcf	Writes a VCF from a multiple sequence alignment (MSA) in CLUSTAW or a FASTA format	2023-06-16
clusterpicker	The Cluster Picker identifies clusters in newick-formatted trees containing thousands of sequences within a few minutes.	2023-06-16
perl-cg-pipeline	Perl libraries required for CG-Pipeline.	2023-06-16
jvarkit-bam2wig	Bam to fixedStep Wiggle converter or BED GRAPH.	2023-06-16
magpurify	Identify and remove incorrectly binned contigs from metagenome-assembled genomes.	2023-06-16
pbgcpp	pbgcpp - GenomicConsensus in C++	2023-06-16
pipelign	A pipeline for automated multiple sequence alignment particularly of viral sequences.	2023-06-16
kronos	Kronos is a highly flexible Python-based software tool that mainly enables bioinformatics developers i.e. bioinformaticians who develop workflows for analyzing genomic data to quickly make a workflow.	2023-06-16
amas	Calculate various summary statistics on a multiple sequence alignment	2023-06-16
wgs2ncbi	Toolkit for preparing genomes for submission to NCBI	2023-06-16
perl-biosails	Standard(ized) Analysis Information Layers	2023-06-16
snp-mutator	Generate mutated sequence files from a reference genome.	2023-06-16
mtsv	MTSv is a suite of metagenomic binning and analysis tools.	2023-06-16
ismapper	A mapping-based tool for identification of the site and orientation of IS insertions in bacterial genomes.	2023-06-16
pepgenome	A java tool to map peptide and peptidoform evideces to ENSEMBL Genome Coordinates	2023-06-16
gapfiller	GapFiller is a seed-and-extend local assembler to fill the gap within paired reads.	2023-06-16
gmcloser	GMcloser fills and closes the gaps present in scaffold assemblies especially those generated by the de novo assembly of whole genomes with next-generation sequencing (NGS) reads.	2023-06-16
phylovega	Interactive Phylogenetic trees in Vega.	2023-06-16
unitig-counter	Uses a compressed de Bruijn graph (implemented in GATB) to count unitigs in bacterial populations.	2023-06-16
transposcope	A package for visualizing read coverage in areas flanking mobile element insertions.	2023-06-16
athena_meta	Athena read cloud assembler for metagenomes	2023-06-16
groopm	Metagenomic binning suite	2023-06-16
maskrc-svg	Masks recombinant regions in an alignment based on ClonalFrameML or Gubbins output Option to draw SVG of recombinant regions.	2023-06-16
jobtree	Python based pipeline management software for clusters that makes running recursive and dynamically scheduled computations straightforward	2023-06-16
spotyping3	SpoTyping3: fast and accurate in silico Mycobacterium spoligotyping from sequence reads compatible with Python3	2023-06-16
mirfix	MIRfix automatically curates miRNA datasets by improving alignments of their precursors the consistency of the annotation of mature miR and miR* sequence and the phylogenetic coverage. MIRfix produces alignments that are comparable across families and sets the stage for improved homology search as well as quantitative analyses.	2023-06-16
